DateTime,DO (mg L-1),pH,Calcium (mg L-1) ,Sodium (mg L-1),Chloride (mg L-1),Temperature (°C),d13C-DIC (‰),DIC  (mg L-1) ,GPP (mg O2 L-1 h-1),R (mg O2 L-1 h-1),KO2 (m d-1)
2/7/2025 18:00,10.03,8,16.2,1.179,1.926,11.197,-9.24,13.38,0,-1.512363818,0.530010455
2/7/2025 22:00,10.04,7.61,16.2,1.13,1.848,10.883,-9.39,13.32,0,-1.520097071,0.432127141
2/8/2025 2:00,9.91,7.57,16.6,1.132,1.871,10.675,-9.96,13.47,0,-1.657200299,0.398572085
2/8/2025 6:00,9.96,7.54,16.8,1.177,1.91,10.562,-9.84,13.45,0,-1.873467737,0.657964974
2/8/2025 10:00,10.36,7.65,16.4,1.087,1.889,10.944,-9.71,13.65,2.267992998,-2.062152213,0.884874152
2/8/2025 14:00,10.37,7.83,16.2,1.111,1.85,11.323,-9.73,13.62,3.48264819,-2.321160267,1.891125468
2/8/2025 18:00,10.25,7.71,16.2,1.091,1.898,11.461,-9.2,13.46,0.351478731,-2.307624113,1.364572218
2/8/2025 22:00,10.01,7.55,16.4,1.146,1.857,11.158,-9.6,13.46,0,-2.203430966,0.981493626
2/9/2025 2:00,10.04,7.58,16.5,1.156,1.806,10.966,-10.07,13.43,0,-1.54873839,0.66973702
2/9/2025 6:00,10.23,7.59,16.9,1.245,1.922,10.242,-9.87,13.74,0,-1.153595886,0.604227697
2/9/2025 10:00,10.45,7.65,16.6,1.091,1.819,10.373,-9.86,13.57,2.290335598,-0.726990979,0.51192825
2/9/2025 14:00,10.7,7.71,16.4,1.181,1.839,10.698,-9.62,13.56,3.507376875,-1.405095698,0.518883818
2/9/2025 18:00,10.61,7.68,16.3,1.099,1.841,10.592,-9.47,13.56,0.372003107,-1.240186866,0.556675105
