DateTime,DO (mg L-1),pH,Temperature (°C),d13C-DIC (‰),DIC  (mg L-1) ,GPP (mg O2 L-1 h-1),R (mg O2 L-1 h-1),KO2 (m d-1)
7/18/25 18:00,9.53,9.01,32.29,-7.27,18.28,11.89008325,-11.49054079,0.75856084
7/18/25 22:00,7.55,8.37,30.91,-7.97,19.35,0,-11.33836218,0.836800587
7/19/25 2:00,6.67,7.97,30.41,-8.16,19.3,0,-10.95432507,0.775327818
7/19/25 6:00,5.7,7.76,29.76,-7.72,18.76,0,-10.89146707,0.799467009
7/19/25 10:00,7.09,8.17,30.13,-7.53,19.4,18.43066485,-11.36551759,0.875303532
7/19/25 14:00,9.54,8.81,32.3,-6.75,18.85,29.5471661,-11.89330199,0.898097512
7/19/25 18:00,9.04,8.66,31.41,-7.27,19.34,17.49434049,-11.7622334,0.962326002
7/19/25 22:00,7.3,8.02,30.74,-7.69,19.28,0,-11.33487335,0.940421538
7/20/25 2:00,6.62,7.95,30.11,-7.78,19.25,0,-11.0408327,0.819996422
7/20/25 6:00,5.86,7.79,29.48,-7.94,19.48,0,-10.78288299,0.75531055
7/20/25 10:00,7.16,8.15,30.48,-7.38,19.18,18.38572966,-11.29107519,1.029636035
7/20/25 14:00,9.95,9.05,33.22,-6.72,16.32,29.52107958,-11.85382938,1.04058542
7/20/25 18:00,9.06,8.75,32.38,-7.01,16.94,17.45819729,-11.84499864,1.004593271
